Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
29075 (1950 DA),2880-2880,1,0.00038,14.1,17.9,1.3,-0.92,-0.92,,2880,2880,75200.0,23805.92444184889
101955 Bennu (1999 RQ36),2178-2290,157,0.00057,5.99,20.6,0.49,-1.4,-1.58,,2178,2290,1421.0,6340.796227822774
(2008 JL3),2027-2122,44,0.00017,8.42,25.3,0.029,-2.68,-2.69,0.0,2027,2122,0.7844,520.1456438111486
(1979 XB),2056-2113,4,8.5e-07,23.76,18.5,0.66,-2.7,-3.0,0.0,2056,2113,32340.0,17969.077253963806
(2000 SG344),2069-2122,300,0.0027,1.36,24.8,0.037,-2.77,-3.11,0.0,2069,2122,1.047,572.7010744211696
(2010 RF12),2095-2122,70,0.1,5.1,28.4,0.007,-2.97,-2.97,0.0,2095,2122,,
(2025 SC5),2086-2107,5,0.00034,12.71,23.8,0.058,-2.97,-2.98,0.0,2086,2107,,
(2007 FT3),2030-2119,87,7.7e-07,17.05,20.0,0.341,-3.06,-3.46,0.0,2030,2119,,
(2015 JJ),2111-2111,1,6.8e-05,10.69,22.1,0.13,-3.06,-3.06,0.0,2111,2111,,
(2022 PX1),2040-2040,1,3.2e-06,35.11,22.3,0.12,-3.1,-3.1,0.0,2040,2040,,
(2005 QK76),2030-2059,6,7.1e-05,19.67,25.2,0.031,-3.18,-3.28,0.0,2030,2059,,
(2021 GX9),2032-2052,2,8.2e-05,16.79,25.3,0.029,-3.25,-3.25,0.0,2032,2052,,
(2025 LK),2052-2079,15,0.0017,9.85,26.9,0.014,-3.48,-3.49,0.0,2052,2079,,
(2023 DO),2057-2092,25,0.00045,6.97,25.6,0.026,-3.57,-3.58,0.0,2057,2092,,
(2013 TP4),2026-2026,1,3.5e-05,25.3,27.5,0.011,-3.6,-3.6,0.0,2026,2026,,
(2019 VB37),2049-2067,5,5.7e-05,14.55,24.5,0.043,-3.61,-3.61,0.0,2049,2067,,
(2008 UB7),2044-2101,50,3.4e-05,18.53,23.8,0.058,-3.62,-4.24,0.0,2044,2101,,
(2024 JW16),2082-2121,12,2.3e-06,23.93,21.0,0.22,-3.63,-3.99,0.0,2082,2121,,
(2007 DX40),2035-2122,93,7.8e-05,15.52,24.6,0.04,-3.64,-4.03,0.0,2035,2122,,
(2016 YM4),2121-2121,1,1.3e-05,18.98,22.4,0.11,-3.69,-3.69,0.0,2121,2121,,
(2012 QD8),2047-2120,16,6.1e-06,20.76,23.1,0.081,-3.71,-3.79,0.0,2047,2120,,
(2000 SB45),2067-2118,194,0.00016,7.53,24.3,0.046,-3.72,-4.19,0.0,2067,2118,,
(2025 RM1),2048-2048,1,6.3e-05,12.23,24.8,0.038,-3.74,-3.74,0.0,2048,2048,,
(2024 TK5),2028-2028,1,0.00033,8.93,27.7,0.01,-3.76,-3.76,0.0,2028,2028,,
(2008 EX5),2056-2093,28,5.3e-05,9.92,23.8,0.059,-3.78,-4.05,0.0,2056,2093,,
(2025 DT2),2044-2071,12,0.00044,9.74,26.6,0.016,-3.79,-3.79,0.0,2044,2071,,
(2020 VW),2074-2079,12,0.007,9.69,28.3,0.007,-3.82,-4.1,0.0,2074,2079,,
(2020 VV),2044-2122,424,0.0023,2.58,27.3,0.012,-3.83,-4.31,0.0,2044,2122,,
(2017 WT28),2083-2121,113,0.012,4.47,28.1,0.008,-3.84,-3.86,0.0,2083,2121,,
(2012 HG2),2052-2122,689,0.002,3.32,27.0,0.014,-3.84,-4.27,0.0,2052,2122,,
(2013 VW13),2063-2095,14,0.00044,16.35,26.2,0.019,-3.86,-4.03,0.0,2063,2095,,
(2025 SQ4),2103-2125,139,0.0013,8.75,26.4,0.018,-3.87,-4.57,0.0,2103,2125,,
(2007 KE4),2029-2096,3,2e-05,10.06,25.2,0.031,-3.88,-3.89,0.0,2029,2096,,
(2023 BZ),2026-2026,1,3.8e-05,8.25,26.6,0.016,-3.92,-3.92,0.0,2026,2026,,
(2023 SN8),2026-2123,6,8.6e-05,8.03,28.0,0.009,-3.93,-3.93,0.0,2026,2123,,
(2023 VD3),2034-2042,3,0.00015,17.78,27.1,0.013,-3.94,-3.94,0.0,2034,2042,,
(2006 DM63),2031-2122,46,0.00014,10.37,26.7,0.015,-3.95,-4.2,0.0,2031,2122,,
(2020 UL3),2122-2124,3,3.5e-05,10.18,23.3,0.075,-3.98,-4.24,0.0,2122,2124,,
(2021 EU),2056-2123,6,5.5e-05,21.22,25.4,0.028,-4.01,-4.07,0.0,2056,2123,,
(2008 CC71),2034-2082,32,4.1e-05,8.05,24.9,0.036,-4.01,-4.3,0.0,2034,2082,,
(2021 GE2),2030-2030,1,0.00073,15.36,29.1,0.005,-4.01,-4.01,0.0,2030,2030,,
(2024 FS5),2026-2026,1,7e-07,24.28,24.8,0.038,-4.01,-4.01,0.0,2026,2026,,
(2020 OB),2114-2122,9,1.7e-05,25.44,23.7,0.062,-4.03,-4.27,0.0,2114,2122,,
(2022 UY14),2043-2043,1,2.1e-05,20.36,25.1,0.032,-4.05,-4.05,0.0,2043,2043,,
(2009 BE),2037-2122,90,0.00036,11.46,26.1,0.02,-4.06,-4.37,0.0,2037,2122,,
(2015 YJ),2042-2122,119,0.0016,16.35,28.3,0.007,-4.06,-4.3,0.0,2042,2122,,
(2023 TB2),2102-2123,10,6.5e-05,6.86,23.8,0.058,-4.06,-4.17,0.0,2102,2123,,
(2010 ER12),2026-2094,8,1.3e-09,23.87,17.6,1.01,-4.06,-4.36,0.0,2026,2094,,
(2025 CL3),2064-2088,11,9.6e-05,12.89,25.3,0.029,-4.07,-4.07,0.0,2064,2088,,
